user_id,applicant_id,rating_after,rating_before,rating_change
2,9,86,85,1
2,8,50,50,0
2,4,40,40,0
2,5,95,95,0
2,12,35,34,1
2,10,38,38,0
2,1,86,86,0
2,11,84,84,0
2,7,75,75,0
2,2,35,35,0
2,6,26,26,0
2,3,72,72,0
5,5,90,90,0
6,5,95,95,0
5,4,38,38,0
6,2,60,60,0
5,11,68,68,0
7,4,83,83,0
5,1,90,90,0
9,7,82,82,0
6,8,45,45,0
11,12,41,41,0
7,2,90,90,0
10,2,50,50,0
5,2,67,67,0
10,6,38,38,0
6,12,70,80,-10
11,2,67,67,0
11,5,100,100,0
11,7,89,89,0
10,10,90,90,0
11,10,27,27,0
11,9,91,91,0
11,8,67,67,0
11,6,59,59,0
10,11,100,100,0
11,1,98,98,0
7,10,82,82,0
11,11,100,100,0
11,4,55,55,0
11,3,88,88,0
10,5,99,99,0
5,7,91,91,0
10,4,61,61,0
6,7,90,90,0
10,8,42,42,0
10,9,91,91,0
6,6,40,40,0
13,5,77,77,0
7,5,96,96,0
10,1,90,90,0
10,7,86,86,0
15,11,97,97,0
10,12,54,54,0
12,9,79,79,0
9,6,72,72,0
10,3,90,90,0
7,8,68,67,1
15,9,83,83,0
5,10,54,54,0
13,4,55,55,0
13,9,61,61,0
13,10,50,50,0
9,8,87,87,0
7,12,65,65,0
14,11,66,66,0
13,7,82,82,0
18,5,90,90,0
9,9,89,89,0
6,1,98,98,0
13,11,100,100,0
20,1,56,56,0
18,8,62,62,0
7,6,64,64,0
16,4,70,70,0
20,11,79,79,0
13,12,26,26,0
7,1,96,96,0
17,4,80,80,0
9,5,91,91,0
20,9,29,29,0
18,10,69,69,0
5,6,44,44,0
13,1,62,62,0
23,7,90,90,0
13,2,47,47,0
20,12,26,26,0
12,7,65,65,0
20,7,27,27,0
18,12,81,81,0
14,1,97,97,0
22,7,80,80,0
14,5,94,94,0
20,8,42,42,0
9,11,93,93,0
18,6,36,36,0
14,7,94,94,0
18,7,75,75,0
14,3,95,95,0
20,5,53,53,0
17,7,94,94,0
16,10,70,70,0
15,7,84,84,0
13,8,55,55,0
7,9,66,66,0
27,5,90,90,0
25,2,63,63,0
9,12,61,61,0
12,10,62,62,0
18,1,79,79,0
20,10,19,19,0
5,8,38,38,0
13,6,41,41,0
9,4,65,65,0
18,9,92,92,0
20,4,21,21,0
28,6,98,98,0
8,2,35,35,0
20,6,19,19,0
26,11,85,85,0
18,4,24,24,0
7,7,85,85,0
29,9,89,89,0
20,2,19,19,0
25,5,100,100,0
15,10,63,63,0
18,2,81,81,0
20,3,53,53,0
30,6,32,32,0
18,11,53,53,0
13,3,87,87,0
17,8,74,74,0
14,4,8,8,0
23,9,95,95,0
16,7,85,85,0
9,1,75,75,0
32,12,50,50,0
26,2,50,50,0
28,5,91,91,0
7,11,92,92,0
23,12,60,60,0
15,2,65,65,0
17,1,100,100,0
9,10,59,59,0
18,3,29,29,0
23,1,96,96,0
8,4,35,35,0
9,2,47,47,0
22,2,40,40,0
6,4,75,75,0
25,4,56,56,0
7,3,88,88,0
14,9,90,90,0
26,10,55,55,0
23,4,55,55,0
16,11,95,95,0
14,10,13,13,0
9,3,78,78,0
12,12,57,57,0
8,11,100,100,0
5,12,67,67,0
6,9,99,99,0
14,8,93,93,0
34,12,57,57,0
30,12,25,25,0
15,5,95,95,0
23,2,55,55,0
29,4,100,100,0
26,5,85,85,0
17,2,81,81,0
25,9,90,90,0
22,6,45,45,0
14,12,4,4,0
26,12,45,45,0
40,8,37,70,-33
23,8,70,70,0
32,9,80,80,0
14,6,10,10,0
16,6,65,65,0
6,11,95,95,0
40,5,100,100,0
23,10,75,75,0
29,1,100,100,0
26,4,55,55,0
17,11,100,100,0
12,6,56,56,0
14,2,18,18,0
26,1,80,80,0
25,11,94,94,0
21,10,18,18,0
40,11,100,100,0
6,10,35,50,-15
23,11,95,95,0
32,11,100,100,0
15,6,52,52,0
40,6,19,65,-46
17,9,91,91,0
37,8,90,88,2
26,9,75,75,0
30,5,100,100,0
6,3,90,90,0
23,6,63,63,0
40,9,100,100,0
16,2,70,70,0
25,8,53,53,0
34,7,100,100,0
32,7,80,80,0
12,8,81,81,0
29,5,86,86,0
42,5,45,45,0
40,7,100,100,0
23,5,90,90,0
26,6,45,45,0
17,6,79,79,0
40,12,31,19,12
41,12,59,59,0
8,10,3,3,0
23,3,91,91,0
25,12,44,44,0
40,1,100,100,0
30,9,100,100,0
26,7,70,70,0
28,8,92,92,0
38,2,60,60,0
34,2,55,55,0
40,2,35,25,10
24,1,45,45,0
28,9,92,92,0
29,2,10,10,0
17,12,73,73,0
40,3,100,100,0
43,12,60,60,0
16,5,90,90,0
44,9,91,91,0
25,1,90,90,0
40,10,50,50,0
26,8,60,60,0
37,12,91,85,6
40,4,34,34,0
15,4,64,64,0
28,2,64,64,0
29,8,84,84,0
30,7,100,100,0
17,5,98,98,0
22,12,45,45,0
47,5,93,93,0
28,12,91,91,0
26,3,75,75,0
25,6,46,46,0
49,9,76,76,0
50,11,100,100,0
24,2,40,40,0
46,3,91,91,0
48,6,72,72,0
45,8,70,70,0
28,4,59,59,0
22,11,100,100,0
15,12,56,56,0
29,12,50,50,0
37,5,100,100,0
38,7,90,97,-7
50,7,90,90,0
8,8,45,45,0
34,5,100,100,0
17,10,75,75,0
24,9,88,88,0
52,3,84,84,0
30,2,40,40,0
15,1,98,98,0
25,10,67,67,0
44,8,60,60,0
12,11,83,83,0
51,1,84,84,0
47,3,94,94,0
16,1,95,95,0
29,6,78,78,0
50,2,55,55,0
33,3,95,95,0
48,8,80,80,0
17,3,95,95,0
54,11,85,85,0
52,8,95,95,0
33,1,90,90,0
15,8,63,63,0
33,7,85,85,0
54,5,85,85,0
33,6,35,35,0
53,5,90,90,0
25,7,85,85,0
33,2,30,30,0
43,11,100,100,0
33,10,30,30,0
32,5,85,85,0
29,11,79,79,0
47,10,58,58,0
28,1,71,71,0
15,3,91,91,0
54,10,75,75,0
33,8,35,35,0
57,1,96,96,0
50,3,98,98,0
33,11,95,95,0
34,11,95,95,0
50,12,17,17,0
30,1,100,100,0
56,10,98,98,0
45,3,90,90,0
33,4,35,35,0
24,10,26,26,0
29,7,100,100,0
33,9,85,85,0
56,1,93,93,0
54,6,66,66,0
56,8,70,70,0
33,5,90,90,0
51,11,92,92,0
32,1,96,96,0
42,2,52,52,0
33,12,30,30,0
56,9,84,84,0
47,2,42,42,0
38,11,100,100,0
56,5,66,66,0
42,10,50,50,0
52,9,27,27,0
46,6,75,75,0
56,3,66,66,0
49,11,74,74,0
54,1,85,85,0
57,7,91,91,0
56,11,74,74,0
50,8,70,70,0
56,7,83,83,0
56,6,96,96,0
48,2,82,82,0
16,12,70,70,0
56,2,48,48,0
12,4,68,68,0
8,7,80,80,0
44,1,91,91,0
54,12,66,66,0
25,3,84,84,0
56,12,53,53,0
29,10,61,61,0
56,4,81,81,0
37,6,88,80,8
32,4,35,35,0
42,8,69,69,0
52,7,96,96,0
54,9,85,85,0
44,7,80,80,0
53,3,85,85,0
50,10,59,59,0
48,9,93,93,0
24,7,66,66,0
51,12,37,37,0
24,5,66,66,0
54,3,80,80,0
47,7,86,86,0
52,2,80,80,0
21,8,74,74,0
59,1,93,93,0
42,12,71,71,0
42,9,63,63,0
54,7,80,80,0
50,6,51,51,0
34,6,63,63,0
30,10,27,27,0
28,7,75,75,0
48,10,69,69,0
54,8,76,76,0
32,6,20,20,0
52,10,80,80,0
38,12,70,70,0
29,3,100,100,0
62,5,95,95,0
49,10,37,37,0
42,7,60,60,0
50,5,100,100,0
54,2,70,70,0
37,11,100,100,0
53,12,70,70,0
5,3,55,55,0
64,3,77,77,0
59,2,70,70,0
28,11,66,66,0
45,1,95,95,0
42,11,55,55,0
48,1,94,94,0
60,6,80,80,0
47,9,89,89,0
58,2,74,74,0
16,8,80,80,0
54,4,70,70,0
50,1,100,100,0
62,2,65,65,0
61,7,75,75,0
32,10,30,30,0
28,10,80,80,0
43,9,90,90,0
27,12,50,50,0
52,12,68,68,0
28,3,62,62,0
59,11,93,93,0
12,2,69,69,0
50,9,98,98,0
62,12,65,65,0
52,1,88,88,0
59,10,72,72,0
32,8,35,35,0
60,9,100,100,0
62,8,69,69,0
48,12,85,85,0
8,5,92,92,0
47,8,32,32,0
21,6,40,40,0
50,4,75,75,0
52,6,51,51,0
41,3,67,67,0
59,12,67,67,0
62,11,95,95,0
38,3,100,100,0
22,10,35,35,0
44,5,91,91,0
32,2,35,35,0
27,8,60,60,0
46,7,91,91,0
62,1,95,95,0
8,6,3,3,0
52,5,91,91,0
59,5,94,94,0
63,5,80,80,0
64,10,77,77,0
41,5,68,68,0
62,7,80,80,0
48,3,92,92,0
60,5,100,100,0
53,8,70,70,0
62,6,65,65,0
59,9,93,93,0
47,11,90,90,0
62,9,80,80,0
27,1,85,85,0
59,6,64,64,0
32,3,75,75,0
52,11,90,90,0
62,3,85,85,0
51,5,89,89,0
16,9,85,85,0
38,5,91,91,0
59,8,67,67,0
62,10,80,80,0
27,2,55,55,0
48,5,94,94,0
45,10,75,75,0
62,4,85,85,0
52,4,83,83,0
41,7,56,56,0
61,10,70,70,0
59,3,95,95,0
57,12,54,54,0
30,8,28,28,0
59,7,85,85,0
60,1,100,100,0
47,12,38,38,0
41,1,56,56,0
59,4,64,64,0
27,11,95,95,0
38,10,71,71,0
65,7,95,95,0
41,10,48,48,0
48,11,100,100,0
46,11,100,100,0
57,10,63,63,0
3,5,95,95,0
48,7,79,79,0
58,5,100,100,0
44,2,65,65,0
21,1,100,100,0
37,10,87,87,0
44,12,50,50,0
60,7,100,100,0
61,8,83,83,0
27,6,45,45,0
21,9,49,49,0
47,1,96,96,0
64,8,80,80,0
5,9,80,80,0
8,9,85,85,0
42,3,39,39,0
57,11,99,99,0
16,3,90,90,0
12,1,87,87,0
22,8,25,25,0
70,5,88,88,0
48,4,75,75,0
22,1,90,90,0
60,2,85,85,0
24,8,16,16,0
37,3,100,100,0
27,7,90,90,0
58,10,53,53,0
49,7,80,80,0
68,8,65,65,0
47,6,48,48,0
38,6,56,56,0
45,6,65,65,0
43,5,95,95,0
65,10,85,85,0
46,9,90,90,0
51,7,82,82,0
61,5,100,100,0
57,6,58,58,0
34,8,55,55,0
71,8,66,66,0
60,12,80,80,0
27,9,90,90,0
53,11,95,95,0
24,4,20,20,0
30,4,35,35,0
70,9,61,61,0
44,6,70,70,0
71,3,47,47,0
69,12,65,67,-2
27,3,95,95,0
38,1,98,98,0
61,2,70,70,0
30,11,100,100,0
47,4,30,30,0
64,2,81,81,0
71,5,61,61,0
37,9,100,100,0
71,7,63,63,0
72,10,70,70,0
57,2,57,57,0
24,11,15,15,0
51,2,40,40,0
27,10,50,50,0
58,9,93,93,0
53,7,88,88,0
8,12,5,5,0
27,4,45,45,0
71,1,53,53,0
57,3,88,88,0
69,11,100,100,0
65,5,100,100,0
46,2,78,78,0
71,10,53,53,0
53,10,85,85,0
72,5,91,91,0
34,10,60,60,0
60,3,100,100,0
61,1,74,74,0
70,2,45,45,0
64,1,74,74,0
24,12,16,16,0
45,5,95,95,0
58,12,50,50,0
72,6,60,60,0
60,11,100,100,0
73,8,75,75,0
69,7,90,90,0
70,10,40,40,0
38,9,82,82,0
21,7,100,100,0
42,6,54,54,0
65,8,80,80,0
70,6,41,41,0
8,1,87,87,0
68,3,90,90,0
44,11,98,98,0
42,1,74,74,0
72,1,93,93,0
24,6,57,57,0
30,3,100,100,0
46,8,72,72,0
61,11,100,100,0
64,11,94,94,0
38,8,60,60,0
42,4,47,47,0
69,8,63,63,0
49,6,44,44,0
37,1,100,100,0
72,7,88,88,0
53,9,95,95,0
44,10,74,74,0
67,11,80,80,0
43,8,65,65,0
41,4,47,47,0
38,4,50,50,0
24,3,40,40,0
22,5,88,88,0
58,3,92,84,8
72,8,60,60,0
69,5,94,92,2
41,6,50,50,0
3,6,90,90,0
61,6,72,72,0
64,6,68,68,0
71,4,49,49,0
34,9,83,83,0
60,10,85,85,0
21,11,100,100,0
45,2,65,65,0
72,12,45,45,0
8,3,80,80,0
65,9,100,100,0
51,9,75,75,0
69,10,62,60,2
72,11,94,94,0
49,3,87,87,0
41,2,50,50,0
44,3,86,86,0
46,1,96,96,0
60,8,80,80,0
41,9,73,73,0
58,7,83,83,0
44,4,62,62,0
73,7,85,85,0
72,3,86,86,0
75,11,93,93,0
37,2,92,88,4
22,9,80,80,0
61,9,76,76,0
64,9,78,78,0
57,8,60,60,0
63,12,75,75,0
72,2,45,45,0
49,2,38,38,0
69,9,96,95,1
43,7,80,80,0
41,11,49,49,0
72,9,89,89,0
60,4,83,83,0
34,1,100,100,0
67,5,90,90,0
57,9,83,83,0
46,10,74,74,0
69,3,90,90,0
51,3,75,75,0
58,1,100,100,0
68,9,80,80,0
61,4,77,77,0
72,4,47,47,0
64,4,74,74,0
71,2,56,56,0
45,9,90,90,0
43,6,60,60,0
63,1,93,93,0
71,9,54,54,0
3,12,80,80,0
69,2,53,50,3
12,5,89,89,0
53,6,75,75,0
67,10,78,78,0
73,11,95,95,0
71,11,61,61,0
37,7,100,100,0
49,1,86,86,0
46,12,68,68,0
57,5,92,92,0
74,8,10,10,0
58,8,23,23,0
75,6,36,36,0
61,12,70,70,0
21,4,52,52,0
22,4,27,27,0
64,12,81,81,0
34,4,60,60,0
57,4,63,63,0
65,3,95,95,0
69,1,92,92,0
49,5,88,88,0
58,11,100,100,0
63,7,88,88,0
53,2,85,85,0
46,5,96,96,0
67,3,78,78,0
12,3,79,79,0
68,1,85,85,0
69,6,48,45,3
58,6,54,54,0
45,11,90,90,0
71,12,57,57,0
61,3,75,75,0
71,6,43,43,0
49,12,32,32,0
58,4,1,1,0
63,2,79,79,0
73,6,75,75,0
69,4,58,58,0
43,1,95,95,0
3,1,98,98,0
53,1,90,90,0
34,3,87,87,0
22,3,93,93,0
46,4,57,57,0
37,4,90,82,8
65,11,100,100,0
64,5,80,80,0
77,8,83,83,0
49,8,50,50,0
67,8,79,79,0
75,9,96,96,0
43,10,70,70,0
21,5,52,52,0
45,7,90,90,0
63,8,72,72,0
53,4,70,70,0
43,3,87,87,0
64,7,74,74,0
49,4,34,34,0
67,9,85,85,0
3,2,75,75,0
68,11,80,80,0
63,6,70,70,0
43,2,74,74,0
75,8,36,36,0
67,6,80,80,0
73,3,95,95,0
70,12,54,54,0
70,11,63,63,0
70,1,53,53,0
70,8,57,57,0
70,3,60,60,0
45,12,60,60,0
70,7,64,64,0
51,6,28,28,0
63,3,80,80,0
70,4,57,57,0
73,5,96,96,0
43,4,72,72,0
21,12,44,44,0
21,3,56,56,0
67,1,90,90,0
65,6,80,80,0
3,10,90,90,0
51,8,49,49,0
63,9,75,75,0
21,2,60,60,0
67,2,72,72,0
68,7,75,75,0
77,7,100,100,0
45,4,70,70,0
63,10,78,78,0
74,9,81,81,0
3,11,100,100,0
67,7,74,74,0
65,1,100,100,0
73,2,60,60,0
63,11,80,80,0
77,9,75,75,0
3,4,85,85,0
65,12,80,80,0
51,10,55,55,0
67,12,77,77,0
75,10,40,40,0
68,10,40,40,0
76,10,73,73,0
67,4,78,78,0
3,8,80,80,0
73,1,97,97,0
65,2,78,78,0
65,4,75,75,0
73,12,71,71,0
51,4,33,33,0
68,6,55,55,0
75,7,99,99,0
3,9,95,95,0
76,7,99,99,0
75,5,94,94,0
3,7,95,95,0
68,2,45,45,0
73,9,86,86,0
63,4,87,87,0
76,3,92,92,0
75,3,96,96,0
74,10,20,20,0
76,6,54,54,0
76,11,100,100,0
68,12,40,40,0
74,1,82,82,0
73,10,72,72,0
76,8,64,64,0
75,12,31,31,0
76,12,60,60,0
74,3,88,88,0
76,1,91,91,0
74,2,80,80,0
76,5,94,94,0
68,5,95,95,0
73,4,71,71,0
76,9,87,87,0
3,3,98,98,0
76,2,65,65,0
75,2,35,35,0
76,4,61,61,0
74,6,48,48,0
77,11,100,100,0
68,4,50,50,0
74,12,49,49,0
75,1,92,92,0
77,1,67,67,0
74,5,84,84,0
74,11,87,87,0
74,4,49,49,0
77,12,73,73,0
74,7,76,76,0
75,4,36,36,0
81,12,25,25,0
80,2,80,80,0
77,2,47,47,0
79,12,65,65,0
80,3,95,95,0
77,10,42,42,0
77,5,84,84,0
77,6,86,86,0
82,2,70,70,0
81,9,81,81,0
77,3,74,74,0
77,4,24,24,0
80,7,95,95,0
82,3,95,95,0
82,6,51,51,0
80,1,100,100,0
81,1,86,86,0
82,11,100,100,0
82,12,60,60,0
80,8,75,75,0
82,5,100,100,0
79,2,76,76,0
82,9,95,95,0
81,8,37,37,0
80,5,100,100,0
82,1,95,95,0
82,7,90,90,0
81,5,86,86,0
82,10,56,56,0
80,12,75,75,0
82,8,60,60,0
81,11,96,96,0
83,11,85,85,0
82,4,60,60,0
81,2,29,29,0
80,9,95,95,0
81,10,44,44,0
83,8,80,80,0
81,6,40,40,0
83,2,60,60,0
81,3,86,86,0
79,7,83,83,0
80,10,75,75,0
83,3,85,85,0
80,11,100,100,0
81,7,86,86,0
81,4,69,69,0
84,6,58,58,0
79,9,89,89,0
84,5,61,61,0
84,2,62,62,0
84,1,84,84,0
84,8,49,49,0
84,9,67,67,0
84,11,95,95,0
84,3,73,73,0
84,7,65,65,0
84,12,51,51,0
84,10,47,47,0
84,4,37,37,0
80,6,65,65,0
83,12,43,43,0
80,4,70,70,0
83,1,84,84,0
85,12,65,65,0
85,9,90,90,0
83,5,88,88,0
83,6,30,30,0
85,7,85,85,0
85,5,94,94,0
85,3,88,88,0
79,8,59,59,0
79,3,83,83,0
83,10,33,33,0
83,7,81,81,0
79,11,95,88,7
79,1,93,93,0
83,9,70,70,0
83,4,40,40,0
79,6,52,52,0
85,6,60,60,0
85,2,70,70,0
85,10,71,71,0
85,8,73,73,0
85,1,92,92,0
85,11,95,95,0
79,10,62,47,15
85,4,66,66,0
79,5,91,95,-4
79,4,71,58,13
